Name	Source	ID	Link	Creators	Type	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
RiboSnake: 16S rRNA analysis workflow with QIIME2 and Snakemake	WorkflowHub	1102	https:/workflowhub.eu/workflows/1102?version=1	Ann-Kathrin Dörr	Snakemake		2024-08-15	2024-08-15	1	1	0				MIT	10.48546/workflowhub.workflow.1102.1	16S rRNA Analysis	16S in name	True
HiFi de novo genome assembly workflow	WorkflowHub	340	https:/workflowhub.eu/workflows/340?version=1		Nextflow		2022-05-10	2023-01-16	1	1	0				CC-BY-4.0		AGRF BIO	profil.* in description	False
Generalizable machine learning models for rapid antimicrobial resistance prediction in unseen healthcare settings	WorkflowHub	1999	https:/workflowhub.eu/workflows/1999?version=1	Diane Duroux	Shell Script		2025-10-17	2025-10-17	1	1	0				GPL-3.0	10.48546/workflowhub.workflow.1999.1	AMRMALDI	antimicrobial.* in name	True
MAGNETO (automated workflow dedicated to MAG reconstruction)	WorkflowHub	1815	https:/workflowhub.eu/workflows/1815?version=3	Samuel Chaffron, Audrey Bihouee, Benjamin Churcheward, Maxime Millet, Guillaume Fertin, Hugo Lefeuvre	Snakemake		2025-09-18	2025-09-25	3	3	0		Gene functional annotation, Genome assembly, Read binning, Read mapping, Sequence assembly, Sequencing quality control, Taxonomic classification	Metagenomics, Metatranscriptomics	GPL-3.0		BiRD	edam	True
chipimputation	WorkflowHub	1871	https:/workflowhub.eu/workflows/1871?version=1		Nextflow		2025-08-13	2025-08-13	1	1	0				MIT		BioX Fanatics	profil.* in description	False
Bactria: BarCode TRee Inference and Analysis	WorkflowHub	706	https:/workflowhub.eu/workflows/706?version=1		Snakemake	bioinformatics, python, snakemake, phylogenetics	2024-01-24	2024-02-05	1	1	0				Apache-2.0		Biodiversity Genomics Europe (general)	metab.* in description	True
AnnoAudit - Annotation Auditor	WorkflowHub	1330	https:/workflowhub.eu/workflows/1330?version=1	Phuong Doan	Nextflow	annotation, biodiversity, bioinformatics	2025-04-03	2025-04-03	1	1	0				MIT	10.48546/workflowhub.workflow.1330.1	Bioinformatics Laboratory for Genomics and Biodiversity (LBGB)	profil.* in description	False
Master of Pores 2	WorkflowHub	438	https:/workflowhub.eu/workflows/438?version=1		Nextflow	ont, transcriptomics, drnaseq, metatranscriptomics, nanopore	2023-02-20	2023-02-20	1	1	0			Metatranscriptomics, Transcriptomics	CC-BY-4.0		Bioinformatics Unit @ CRG	edam	False
WHALE	WorkflowHub	1865	https:/workflowhub.eu/workflows/1865?version=1		Nextflow	bioinformatics, genomics, nextflow, long-read-sequencing	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Genomics	MIT		Bioinformatics Unit IIS-FJD	profil.* in description	False
PARROT-FJD	WorkflowHub	1864	https:/workflowhub.eu/workflows/1864?version=1		Nextflow	bioinformatics, genomics, nextflow	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Genomics	CC-BY-4.0		Bioinformatics Unit IIS-FJD	profil.* in description	False
